N_iters walltime_cg f_trunc_cg walltime_approx_cg f_trunc_approx_cg walltime_trm f_trunc_trm walltime_approx_trm f_trunc_approx_trm
700 44.20960783124804 1.4544843473751243e-06 8.915796479978763 1.4806885182200712e-06 197.71654939318037 1.1236909397940754e-06 24.11230744181813 1.1500119086487688e-06
705 44.525390744328384 1.4539898182238228e-06 8.97948074055004 1.4806885182200712e-06 199.1288104602745 1.1236841576279912e-06 24.284538209259686 1.1496604458558562e-06
710 44.841173657408724 1.4518238583107895e-06 9.043165001121316 1.4806885182200712e-06 200.54107152736864 1.1236139340877088e-06 24.456768976701245 1.149413386248794e-06
715 45.15695657048907 1.419355592519453e-06 9.106849261692593 1.4806885182200712e-06 201.9533325944628 1.1233037410784795e-06 24.628999744142803 1.1493544760992917e-06
720 45.47273948356941 1.40741965961569e-06 9.17053352226387 1.4806885182200712e-06 203.36559366155694 1.1230711905905234e-06 24.80123051158436 1.1492893670658647e-06
725 45.78852239664975 1.3986746366666153e-06 9.234217782835147 1.4806885182200712e-06 204.77785472865108 1.1229292872529962e-06 24.97346127902592 1.1492451707722062e-06
730 46.1043053097301 1.3919385784310105e-06 9.297902043406424 1.4806885182200712e-06 206.19011579574524 1.122904707909665e-06 25.145692046467477 1.149158988541708e-06
735 46.42008822281044 1.3892915212838357e-06 9.3615863039777 1.4806885182200712e-06 207.60237686283938 1.1222156594864353e-06 25.317922813909036 1.1488484400283206e-06
740 46.73587113589078 1.3821082448933075e-06 9.425270564548978 1.4806885182200712e-06 209.0146379299335 1.1221283419232655e-06 25.490153581350594 1.1484385889212962e-06
745 47.05165404897113 1.3809805298132107e-06 9.488954825120254 1.4806885182200712e-06 210.42689899702768 1.1220991759508166e-06 25.662384348792152 1.1483854215110673e-06
750 47.36743696205147 1.3797120466618057e-06 9.552639085691531 1.4806885182200712e-06 211.8391600641218 1.1216327624353432e-06 25.83461511623371 1.148252825711252e-06
755 47.68321987513181 1.3780323432178337e-06 9.616323346262808 1.4806885182200712e-06 213.25142113121595 1.1215618714556748e-06 26.00684588367527 1.1481252970219653e-06
760 47.99900278821216 1.375991429927785e-06 9.680007606834085 1.4806885182200712e-06 214.6636821983101 1.121507285663639e-06 26.179076651116826 1.1478672688214976e-06
765 48.3147857012925 1.375055037189199e-06 9.743691867405362 1.4806885182200712e-06 216.07594326540425 1.121374768012592e-06 26.351307418558385 1.1478476962752256e-06
770 48.63056861437285 1.3735626675642856e-06 9.807376127976639 1.4806885182200712e-06 217.4882043324984 1.121122316464685e-06 26.523538185999943 1.1477907706369961e-06
775 48.94635152745319 1.3610507393177897e-06 9.871060388547916 1.4806885182200712e-06 218.90046539959255 1.1207586486013882e-06 26.6957689534415 1.1476150828600443e-06
780 49.26213444053353 1.3579149148495794e-06 9.934744649119192 1.4806885182200712e-06 220.31272646668668 1.1200301207217204e-06 26.86799972088306 1.1475291357350553e-06
